ID_String,Text,News_Org,SA
1071922419001057280,@WajdWaqfi @FoxNews هذا الغبي لايعرف أن اللغة الفارسية 60% منها لغة عربية واحرفها وكتابتها عربية حتى جيناتهم غالبيت… https://t.co/g6bgpblpln,FoxNews,0
1071922399011065856,"@CNN Alternate narrative = lies, deceit, character assassination, and violation of human rights, the Constitution a… https://t.co/S5i7lqmvQz",CNN,0
1071922398755201024,@WinterIsTrumpng @FoxNews @TuckerCarlson I wonder if this has to do with ATIFA at his house... did they threaten hi… https://t.co/OGcgAUM40X,FoxNews,0
1071922398155423746,"While every news outlet is highlighting trump’s crumbling house of cards, @FoxNews is covering the important stuff. https://t.co/EI0TAl2Ndv",FoxNews,1
1071922380908490752,@teng_zhen @CNN I dislike people like you man 😩😩😩,CNN,0
1071922371903266818,@VaDOTBristol @CNN @ABC Still here. Same spot. This is crazy! You all knew this storm was coming but the roads were… https://t.co/7lZJqsLN0h,CNN,-1
1071922262373253121,"Are you kidding? @abcnews, @NBCNews, @CBSNews, @CNN &amp; @MSNBC will run 24/7 hagiography on how he was such a great f… https://t.co/gxjodIqgsN",CNN,1
1071922260859072512,@TomFitton @JudicialWatch @realDonaldTrump @JudgeJeanine @FoxNews Still with the emails.,FoxNews,0
1071922258568916992,"@briahsdad @TariffMYtaxCUT @CNN @FareedZakaria As for our debt,you have to thank Obama for that. We need to stop su… https://t.co/aTd3fFibSO",CNN,0
1071922257012830208,@realDonaldTrump @TheRickWilson @CNN Go Rick!!,CNN,0
1071922229477367808,"@realDonaldTrump @TheRickWilson @CNN Given the high bar you've set . . . no, wait.",CNN,1
1071922216818794496,"Palestinian attacker suspected in West Bank drive-by shooting; 7 wounded, including pregnant woman… https://t.co/QV0c4w2cGo",,1
1071922213438279680,"@TweetBrettMac @HarmlessYardDog @JackPosobiec @FoxNews @realDonaldTrump 

For real?!? Wtf why is this not front pag… https://t.co/Tug4ikhE4n",FoxNews,-1
1071922203707363329,@JoanieReb @CNN @FoxNews @SenWarren Just another ignorant democrat that doesn't have an answer for anything only bl… https://t.co/2Aeiq3jyrO,,0
1071922201849413633,"@NiemanReports @MrJonCryer Way too far @CNN @MSNBC take heed, you are doing a disservice to viewers",CNN,1
1071922155254886400,The look on her face when the FBI agents are at the door... Cheers sweetheart. ⁦@HillaryClinton⁩ ⁦@POTUS⁩ ⁦… https://t.co/7uSjq6w5Ml,,0
1071922148086874113,@Yastreblyansky @davidaxelrod @ggreenwald @RahmEmanuel @CNN Thx for clarification. I missed the quotations in Acelr… https://t.co/i6VDX7KHM0,CNN,0
1071922143540109312,@davidaxelrod @RahmEmanuel @CNN *better carnival barker and fearmonger,CNN,1
1071922136954982401,@davidaxelrod @RahmEmanuel @CNN You deserve this ratio. Slob.,CNN,0
1071922134681878529,@newsbusters @CNN @brianstelter You mean like Clinton? ... Obama?,CNN,-1
1071922129317154816,"Don't let history repeat itself! 

#JusticeforUyghur 

@CNN @BBC @AlJazeera @Bloomberg https://t.co/WIfwOEKXSF",CNN,0
1071922094332657671,@LLESGMOMMA @hillarytoprison @FoxNews And sorry sweetheart. It's not collusion. Hillary Clinton sold 20% of our Ura… https://t.co/dGhkXgSysP,FoxNews,-1
1071922090813607936,@nyc_ez @AndrewCMcCarthy @FoxNews @POTUS @foxandfriends How... How? ???,FoxNews,0
1071922087831461889,@realDonaldTrump @TheRickWilson @CNN What the eff,CNN,0
1071922078624960514,@JayGaudinier @CNN Simply google the punishments we already have. They’re pretty strict already. No need to change it,CNN,1
1071922063034802178,@davidaxelrod @RahmEmanuel @CNN He was a better LIAR,CNN,1
1071922060534910978,@davidaxelrod @RahmEmanuel @CNN And I'm in disagreement with this blatant misogyny.,CNN,-1
1071922059134099456,"@realDonaldTrump @TheRickWilson @CNN Is he getting under your skin?

Good.  Hope you keep scratching, Keep picking that scab.",CNN,1
1071922055040458752,@teaofyorkshire @CNN Uh huh,CNN,0
1071922053480148992,@USATODAY It looks like there’s a fierce competition between @USATODAY and @CNN to see who can find the oldest and… https://t.co/hA4N8DR6Dg,CNN,0
1071922025030213633,The witch hunt on @realDonaldTrump is exacerbated by even @FoxNews as they never say that the witch hunt is based o… https://t.co/cGPjAwVbKv,FoxNews,0
1071922024065458178,"@maydaymindy9 @realdonaldtrump is the most corrupt person in this admin; however, hard to pick another bc this admi… https://t.co/OHOJjmZJF9",,-1
1071922012556120064,"@ruthMP20 @CJSKeane @williamlegate @realDonaldTrump @FoxNews @FoxNews, @FoxBusiness, @Drudge, others... Dark for a month now.",FoxNews,-1
1071921999851720704,"'I can't breathe.' Jamal Khashoggi's last words disclosed in transcript, source says @CNN https://t.co/jeYRPfFbaF",CNN,0
1071921974190829573,"@briahsdad @TariffMYtaxCUT @CNN @FareedZakaria Well, there's a difference between 50,000 and 5,000,000, isn't there… https://t.co/YDBkUPmSDc",CNN,0
1071921973427666944,"@EMPRESSROOTSGAL @itsreallyalexb @CNN As an empath I literally CANNOT expose myself to that, I will obsess over the… https://t.co/2SC3cKfsiy",CNN,0
1071921970722299904,@CNN The political parties and brexit activists don't give a shit.  Their actions will push Britain's economy and s… https://t.co/ddkHIT2Pao,CNN,-1
1071921959934590977,@Jam090460Miller @CNN It does matter because Democrats have chosen to ignore dangerous criminal activity because they hate trump.,CNN,-1
1071921938853969925,@DrJMZimmerman @weartv @FOX10News @pnj @nytimes @nwfdailynews @maddow @CNN @WUWF @politicofl @PublicAccessPod… https://t.co/vUeqwB3ZFD,CNN,0
1071921924534611970,"@TuckerCarlson That’s exactly what you have help done on @foxnews, congratulations you are part of the problem you now pretend to decry... 🤔",,1
1071921916900970496,"@TomiLahren Awww, so cute, you're, yet again, concerned with celebrities. Why even hide behind the facade of… https://t.co/yQZmYRixP8",,1
